,t1,x1,y1,t2,x2,y2,t3,x3,y3,distance_1,distance_2,distance_3,distance_11,distance_22,distance_33,distance_111,distance_222,distance_333,distance_10,distance_20,distance_30
0,0.0,831.3,1050.0,0.0,996.1,905.3,0.0,1190.0,1110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.321,833.1,1050.0,0.321,996.1,905.3,0.321,1190.0,1110.0,1.8000000000000682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2400000000002454,0.0,0.0
2,0.643,843.2,1050.0,0.643,995.9,908.7,0.643,1190.0,1110.0,10.100000000000023,3.4058772731853737,0.0,11.900000000000091,3.4058772731853737,0.0,0.0,0.0,0.0,141.61000000000217,11.600000000000637,0.0
3,1.285,854.0,1050.0,1.285,998.6,917.5,1.285,1200.0,1120.0,10.799999999999955,9.204890004774606,14.142135623730951,20.899999999999977,12.453513560437516,14.142135623730951,22.700000000000045,12.453513560437516,14.142135623730951,515.290000000002,155.0900000000011,200.0
4,1.606,844.4,1050.0,1.606,994.5,905.8,1.606,1210.0,1130.0,9.600000000000023,12.397580409096012,14.142135623730951,1.1999999999999318,3.2202484376209957,28.284271247461902,11.299999999999955,1.6763054614240427,28.284271247461902,171.61000000000058,2.810000000000073,800.0
5,1.928,843.6,1050.0,1.928,998.0,907.5,1.928,1210.0,1140.0,0.7999999999999545,3.8910152916687637,10.0,10.399999999999977,10.017983829094556,22.360679774997898,0.39999999999997726,2.418677324489607,36.05551275463989,151.29000000000167,8.450000000000113,1300.0
6,2.249,854.0,1050.0,2.249,999.5,907.6,2.249,1210.0,1140.0,10.399999999999977,1.5033296378372925,0.0,9.600000000000023,5.314132102234592,10.0,0.0,9.94082491546851,22.360679774997898,515.290000000002,16.850000000000158,1300.0
7,2.57,854.1,1050.0,2.57,1010.0,905.7,2.57,1200.0,1140.0,0.10000000000002274,10.670520137275405,10.0,10.5,12.134249049694004,10.0,9.700000000000045,15.500322577288513,14.142135623730951,519.8400000000031,193.36999999999944,1000.0
8,2.892,846.0,1060.0,2.892,1010.0,905.8,2.892,1190.0,1140.0,12.868954891520925,0.09999999999990905,10.0,12.806248474865697,10.653168542738834,20.0,10.283968105745947,12.119818480488895,20.0,316.09000000000134,193.45999999999935,900.0
9,3.213,839.7,1060.0,3.213,1010.0,898.4,3.213,1190.0,1140.0,6.2999999999999545,7.399999999999977,0.0,17.53168560064888,7.300000000000068,10.0,17.449641830135043,13.960300856356959,20.0,170.56000000000154,240.81999999999903,900.0
10,3.534,829.9,1070.0,3.534,1010.0,905.4,3.534,1190.0,1140.0,14.001428498549759,7.0,0.0,18.952836199366065,0.39999999999997726,0.0,31.39490404508353,0.3000000000000682,10.0,401.9599999999999,193.21999999999935,900.0
11,3.855,826.5,1070.0,3.855,975.7,933.1,3.855,1190.0,1130.0,3.3999999999999773,44.08832044884449,10.0,16.560193235587597,48.79118772893318,10.0,21.914607000811127,43.8381112731833,10.0,423.03999999999957,1189.0000000000027,400.0
12,4.177,828.7,1070.0,4.177,982.6,938.3,4.177,1190.0,1130.0,2.2000000000000455,8.64002314811708,0.0,1.1999999999999318,42.81553456398737,10.0,14.866068747318506,48.40216937287002,10.0,406.75999999999954,1271.25,400.0
13,4.498,819.5,1070.0,4.498,989.2,933.8,4.498,1200.0,1130.0,9.200000000000045,7.9881161734166275,10.0,7.0,13.518135966175214,10.0,10.399999999999977,35.20227265390683,14.142135623730951,539.2399999999989,859.8599999999997,500.0
14,4.819,828.2,1070.0,4.819,980.8,926.4,4.819,1190.0,1130.0,8.700000000000045,11.194641575325276,10.0,0.5,12.035364556173597,0.0,1.7000000000000455,8.420213774008335,0.0,409.60999999999945,679.300000000003,400.0
15,5.141,830.5,1070.0,5.141,984.9,924.9,5.141,1190.0,1140.0,2.2999999999999545,4.365775990588636,10.0,11.0,9.884331034521264,14.142135623730951,1.7999999999999545,13.595955280891415,10.0,400.63999999999993,509.6000000000019,900.0
16,5.783,836.6,1060.0,5.783,995.8,927.2,5.783,1180.0,1140.0,11.713667231059633,11.14001795330689,10.0,13.059862173851592,15.021318184500323,14.142135623730951,19.809341230843614,9.333809511662299,22.360679774997898,128.0900000000007,479.700000000004,1000.0
17,6.104,847.8,1060.0,6.104,998.9,913.0,6.104,1170.0,1140.0,11.199999999999932,14.534441853748682,10.0,19.982242116439245,18.374166647769346,20.0,22.003636063160027,22.520435164534458,22.360679774997898,372.25,67.13000000000045,1300.0
18,6.426,853.4,1060.0,6.426,1000.0,915.7,6.426,1160.0,1140.0,5.600000000000023,2.915475947422701,10.0,16.799999999999955,12.242957159118069,20.0,24.988197213884778,17.68191166135606,30.0,588.410000000001,123.37000000000171,1800.0
19,6.747,846.3,1070.0,6.747,995.6,917.5,6.747,1160.0,1140.0,12.264175471673598,4.753945729601846,0.0,10.111874208078342,5.580322571321456,10.0,13.9316187142772,9.70206163658018,20.0,625.0,149.0900000000011,1800.0
20,7.068,855.9,1070.0,7.068,1000.0,922.6,7.068,1160.0,1160.0,9.600000000000023,6.735725647619567,20.0,10.307764064044152,6.899999999999977,20.0,12.868954891520925,9.662815324738464,22.360679774997898,1005.1600000000011,314.50000000000216,3400.0
21,7.39,860.0,1060.0,7.39,996.8,920.4,7.39,1150.0,1160.0,10.807867504739322,3.883297567789583,10.0,16.96142682677378,3.1384709652949963,22.360679774997898,6.600000000000023,5.685947590331769,22.360679774997898,923.6900000000026,228.50000000000057,4100.0
22,7.711,855.1,1060.0,7.711,992.9,917.2,7.711,1150.0,1160.0,4.899999999999977,5.044799302251715,0.0,10.031948963187558,8.920201791439478,10.0,13.320660644277416,2.716615541441265,22.360679774997898,666.4400000000032,151.85000000000247,4100.0
23,8.032,844.7,1060.0,8.032,996.1,915.3,8.032,1160.0,1160.0,10.399999999999977,3.721558813185765,10.0,15.299999999999955,5.147815070493514,10.0,15.014659503298716,8.276472678623474,0.0,279.56000000000245,100.0,3400.0
24,8.353,832.2,1050.0,8.353,995.5,913.7,8.353,1160.0,1170.0,16.00781059358212,1.7088007490634292,10.0,24.988197213884778,4.360045871318341,14.142135623730951,29.543865691544116,6.824954212300546,14.142135623730951,0.8100000000001637,70.92000000000155,4500.0
25,8.675,836.0,1060.0,8.675,990.8,909.0,8.675,1160.0,1160.0,10.69766329625305,6.646803743153611,10.0,8.700000000000045,8.232860985101118,0.0,19.100000000000023,8.464632301523844,10.0,122.09000000000043,41.78000000000106,3400.0
